"required",,,,,,,"optional","optional",,"optional","optional",,"optional","optional","optional",,,"optional","optional","optional","optional","optional",,"optional","optional","optional","optional","optional","optional","optional",,"optional",,"repeated","optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",,"optional_struct","optional",,"optional",
111010008,11,1,1,0,8,,1,8,,"BuildingAttribute","SB","太空基地",1,12,"Kongjianzhan","UITexture/Bldg/",111010008,UITexture/Bldg/111010008.png,"SBDtl",-1,3,4,,101,80,3,3,800,"BLDG_SS",8,,26678,26677.8947368421,3,,220000103,"3级原石",23000,22615.1315789474,,220000203,"3级金属",14000,13569.0789473684,,220000303,"3级气体",4500,4523.02631578947,,220000403,"3级水晶",0,0,,0,,0,
111010009,11,1,1,0,9,,1,9,,"BuildingAttribute","SB","太空基地",1,12,"Kongjianzhan","UITexture/Bldg/",111010009,UITexture/Bldg/111010009.png,"SBDtl",-1,3,4,,101,90,3,3,900,"BLDG_SS",9,,29346,29345.6842105263,3,,220000103,"3级原石",31000,31095.8059210526,,220000203,"3级金属",19000,18657.4835526316,,220000303,"3级气体",6200,6219.16118421053,,220000403,"3级水晶",0,0,,0,,0,
111010010,11,1,1,0,10,,1,10,,"BuildingAttribute","SB","太空基地",1,12,"Kongjianzhan","UITexture/Bldg/",111010010,UITexture/Bldg/111010010.png,"SBDtl",-1,3,4,,101,100,3,3,1000,"BLDG_SS",10,,35215,35214.8210526316,3,,220000104,"4级原石",19000,18657.4835526316,,220000204,"4级金属",11000,11194.490131579,,220000304,"4级气体",3700,3731.49671052632,,220000404,"4级水晶",0,0,,0,,0,
111010011,11,1,1,0,11,,1,11,,"BuildingAttribute","SB","太空基地",1,12,"Kongjianzhan","UITexture/Bldg/",111010011,UITexture/Bldg/111010011.png,"SBDtl",-1,3,4,,101,110,3,3,1100,"BLDG_SS",11,,52822,52822.2315789474,4,,220000104,"4级原石",35000,34982.7816611842,,220000204,"4级金属",16000,15742.2517475329,,220000304,"4级气体",7000,6996.55633223684,,220000404,"4级水晶",1700,1749.13908305921,,0,,0,
111010012,11,1,1,0,12,,1,12,,"BuildingAttribute","SB","太空基地",1,12,"Kongjianzhan","UITexture/Bldg/",111010012,UITexture/Bldg/111010012.png,"SBDtl",-1,3,4,,101,120,3,3,1200,"BLDG_SS",12,,79233,79233.3473684211,4,,220000104,"4级原石",66000,65592.7156147204,,220000204,"4级金属",30000,29516.7220266242,,220000304,"4级气体",13000,13118.5431229441,,220000404,"4级水晶",3300,3279.63578073602,,0,,0,
111010013,11,1,1,0,13,,1,13,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010013,UITexture/Bldg/111010013.png,"SBDtl",-1,3,4,,101,130,3,3,1300,"BLDG_SS",13,,103003,103003.351578947,4,,220000105,"5级原石",36000,35529.3876246402,,220000205,"5级金属",16000,15988.2244310881,,220000305,"5级气体",7100,7105.87752492804,,220000405,"5级水晶",1800,1776.46938123201,,0,,0,
111010014,11,1,1,0,14,,1,14,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010014,UITexture/Bldg/111010014.png,"SBDtl",-1,3,4,,101,140,3,3,1400,"BLDG_SS",14,,113304,113303.686736842,4,,220000105,"5级原石",49000,48852.9079838803,,220000205,"5级金属",22000,21983.8085927461,,220000305,"5级气体",9800,9770.58159677606,,220000405,"5级水晶",2400,2442.64539919401,,0,,0,
111010015,11,1,1,0,15,,1,15,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010015,UITexture/Bldg/111010015.png,"SBDtl",-1,3,4,,101,150,3,3,1500,"BLDG_SS",15,,124634,124634.055410526,4,,220000105,"5级原石",67000,67172.7484778354,,220000205,"5级金属",30000,30227.7368150259,,220000305,"5级气体",13000,13434.5496955671,,220000405,"5级水晶",3400,3358.63742389177,,0,,0,
111010016,11,1,1,0,16,,1,16,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010016,UITexture/Bldg/111010016.png,"SBDtl",-1,3,4,,101,160,3,3,1600,"BLDG_SS",16,,137097,137097.460951579,4,,220000106,"6级原石",19000,19242.1935743799,,220000206,"6级金属",12000,11545.316144628,,220000306,"6级气体",7700,7696.87742975198,,220000406,"6级水晶",3800,3848.43871487599,,0,,0,
111010017,11,1,1,0,17,,1,17,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010017,UITexture/Bldg/111010017.png,"SBDtl",-1,3,4,,101,170,3,3,1700,"BLDG_SS",17,,205646,205646.191427368,4,,220000106,"6级原石",36000,36079.1129519624,,220000206,"6级金属",22000,21647.4677711774,,220000306,"6级气体",14000,14431.645180785,,220000406,"6级水晶",7200,7215.82259039248,,0,,0,
111010018,11,1,1,0,18,,1,18,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010018,UITexture/Bldg/111010018.png,"SBDtl",-1,3,4,,101,180,3,3,1800,"BLDG_SS",18,,308469,308469.287141053,4,,220000106,"6级原石",68000,67648.3367849295,,220000206,"6级金属",41000,40589.0020709577,,220000306,"6级气体",27000,27059.3347139718,,220000406,"6级水晶",14000,13529.6673569859,,0,,0,
111010019,11,1,1,0,19,,1,19,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010019,UITexture/Bldg/111010019.png,"SBDtl",-1,3,4,,101,190,3,3,1900,"BLDG_SS",19,,370163,370163.144569263,4,,220000107,"7级原石",34000,33824.1683924647,,220000207,"7级金属",20000,20294.5010354788,,220000307,"7级气体",14000,13529.6673569859,,220000407,"7级水晶",6800,6764.83367849295,,0,,0,
111010020,11,1,1,0,20,,1,20,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010020,UITexture/Bldg/111010020.png,"SBDtl",-1,3,4,,101,200,3,3,2000,"BLDG_SS",20,,407179,407179.45902619,4,,220000107,"7级原石",47000,46508.231539639,,220000207,"7级金属",28000,27904.9389237834,,220000307,"7级气体",19000,18603.2926158556,,220000407,"7级水晶",9300,9301.6463079278,,0,,0,
111010021,11,1,1,0,21,,1,21,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010021,UITexture/Bldg/111010021.png,"SBDtl",-1,3,4,,101,210,3,3,2100,"BLDG_SS",21,,439754,439753.815748285,4,,220000107,"7级原石",63000,62786.1125785127,,220000207,"7级金属",38000,37671.6675471076,,220000307,"7级气体",25000,25114.4450314051,,220000407,"7级水晶",13000,12557.2225157025,,0,,0,
111010022,11,1,1,0,22,,1,22,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010022,UITexture/Bldg/111010022.png,"SBDtl",-1,3,4,,101,220,3,3,2200,"BLDG_SS",22,,470537,470536.582850665,4,,220000108,"8级原石",28000,27992.1418579202,,220000208,"8级金属",17000,16795.2851147521,,220000308,"8级气体",11000,11196.8567431681,,220000408,"8级水晶",5600,5598.42837158405,,0,,0,
111010023,11,1,1,0,23,,1,23,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010023,UITexture/Bldg/111010023.png,"SBDtl",-1,3,4,,101,230,3,3,2300,"BLDG_SS",23,,498769,498768.777821705,4,,220000108,"8级原石",37000,37089.5879617443,,220000208,"8级金属",22000,22253.7527770466,,220000308,"8级气体",15000,14835.8351846977,,220000408,"8级水晶",7400,7417.91759234886,,0,,0,
111010024,11,1,1,0,24,,1,24,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010024,UITexture/Bldg/111010024.png,"SBDtl",-1,3,4,,101,240,3,3,2400,"BLDG_SS",24,,523707,523707.21671279,4,,220000108,"8级原石",49000,48680.0841997894,,220000208,"8级金属",29000,29208.0505198736,,220000308,"8级气体",19000,19472.0336799158,,220000408,"8级水晶",9700,9736.01683995788,,0,,0,
111010025,11,1,1,0,25,,1,25,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010025,UITexture/Bldg/111010025.png,"SBDtl",-1,3,4,,101,250,3,3,2500,"BLDG_SS",25,,549893,549892.577548429,4,,220000109,"9级原石",21000,21297.5368374079,,220000209,"9级金属",13000,12778.5221024447,,220000309,"9级气体",8500,8519.01473496315,,220000409,"9级水晶",4300,4259.50736748157,,0,,0,
111010026,11,1,1,0,26,,1,26,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010026,UITexture/Bldg/111010026.png,"SBDtl",-1,3,4,,101,260,3,3,2600,"BLDG_SS",26,,571888,571888.280650367,4,,220000109,"9级原石",27000,26579.325973085,,220000209,"9级金属",16000,15947.595583851,,220000309,"9级气体",11000,10631.730389234,,220000409,"9级水晶",5300,5315.865194617,,0,,0,
111010027,11,1,1,0,27,,1,27,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010027,UITexture/Bldg/111010027.png,"SBDtl",-1,3,4,,101,270,3,3,2700,"BLDG_SS",27,,594764,594763.811876381,4,,220000109,"9级原石",33000,33170.9988144101,,220000209,"9级金属",20000,19902.5992886461,,220000309,"9级气体",13000,13268.399525764,,220000409,"9级水晶",6600,6634.19976288202,,0,,0,
111010028,11,1,1,0,28,,1,28,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010028,UITexture/Bldg/111010028.png,"SBDtl",-1,3,4,,101,280,3,3,2800,"BLDG_SS",28,,612607,612606.726232673,4,,220000110,"10级原石",14000,13666.451511537,,220000210,"10级金属",8200,8199.87090692218,,220000310,"10级气体",5500,5466.58060461479,,220000410,"10级水晶",2700,2733.29030230739,,0,,0,
111010029,11,1,1,0,29,,1,29,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010029,UITexture/Bldg/111010029.png,"SBDtl",-1,3,4,,101,290,3,3,2900,"BLDG_SS",29,,630985,630984.928019653,4,,220000110,"10级原石",17000,16891.7340682597,,220000210,"10级金属",10000,10135.0404409558,,220000310,"10级气体",6800,6756.69362730387,,220000410,"10级水晶",3400,3378.34681365194,,0,,0,
111010030,11,1,1,0,30,,1,30,,"BuildingAttribute","SB","太空基地",0,12,"Kongjianzhan","UITexture/Bldg/",111010030,UITexture/Bldg/111010030.png,"SBDtl",-1,3,4,,101,300,3,3,3000,"BLDG_SS",30,,643605,643604.626580046,4,,220000110,"10级原石",21000,20675.4824995499,,220000210,"10级金属",12000,12405.2894997299,,220000310,"10级气体",8300,8270.19299981994,,220000410,"10级水晶",4100,4135.09649990997,,0,,0,
111020001,11,1,2,0,1,,1,1,,"BuildingAttribute","Sp","星港",1,12,"xinggang","UITexture/Bldg/",111020001,UITexture/Bldg/111020001.png,"SpDtl",1,3,7,,102,10,1,3,0,"BLDG_SPACEPORT",1,,21,21.0526315789474,2,,220000101,"1级原石",40,42.1052631578947,,220000201,"1级金属",30,25.2631578947368,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111020002,11,1,2,0,2,,1,2,,"BuildingAttribute","Sp","星港",1,12,"xinggang","UITexture/Bldg/",111020002,UITexture/Bldg/111020002.png,"SpDtl",1,3,7,,102,20,1,3,0,"BLDG_SPACEPORT",2,,84,84.2105263157895,2,,220000101,"1级原石",210,210.526315789474,,220000201,"1级金属",130,126.315789473684,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111020003,11,1,2,0,3,,1,3,,"BuildingAttribute","Sp","星港",1,12,"xinggang","UITexture/Bldg/",111020003,UITexture/Bldg/111020003.png,"SpDtl",1,3,7,,102,30,1,3,0,"BLDG_SPACEPORT",3,,337,336.842105263158,2,,220000101,"1级原石",1100,1052.63157894737,,220000201,"1级金属",630,631.578947368421,,220000301,"1级气体",0,0,,220000401,"1级水晶",0,0,,0,,0,
111020004,11,1,2,0,4,,1,4,,"BuildingAttribute","Sp","星港",1,12,"xinggang","UITexture/Bldg/",111020004,UITexture/Bldg/111020004.png,"SpDtl",1,3,7,,102,40,1,3,0,"BLDG_SPACEPORT",4,,1347,1347.36842105263,2,,220000102,"2级原石",1800,1754.38596491228,,220000202,"2级金属",1100,1052.63157894737,,220000302,"2级气体",0,0,,220000402,"2级水晶",0,0,,0,,0,
111020005,11,1,2,0,5,,1,5,,"BuildingAttribute","Sp","星港",1,12,"xinggang","UITexture/Bldg/",111020005,UITexture/Bldg/111020005.png,"SpDtl",1,3,7,,102,50,1,3,0,"BLDG_SPACEPORT",5,,4042,4042.10526315789,2,,220000102,"2级原石",6600,6578.94736842105,,220000202,"2级金属",3900,3947.36842105263,,220000302,"2级气体",0,0,,220000402,"2级水晶",0,0,,0,,0,
111020006,11,1,2,0,6,,1,6,,"BuildingAttribute","Sp","星港",1,12,"xinggang","UITexture/Bldg/",111020006,UITexture/Bldg/111020006.png,"SpDtl",1,3,7,,102,60,1,3,0,"BLDG_SPACEPORT",6,,8084,8084.21052631579,3,,220000102,"2级原石",13000,13157.8947368421,,220000202,"2级金属",7900,7894.73684210526,,220000302,"2级气体",2600,2631.57894736842,,220000402,"2级水晶",0,0,,0,,0,
111020007,11,1,2,0,7,,1,7,,"BuildingAttribute","Sp","星港",1,12,"xinggang","UITexture/Bldg/",111020007,UITexture/Bldg/111020007.png,"SpDtl",1,3,7,,102,70,1,3,0,"BLDG_SPACEPORT",7,,16168,16168.4210526316,3,,220000103,"3级原石",11000,10964.9122807018,,220000203,"3级金属",6600,6578.94736842105,,220000303,"3级气体",2200,2192.98245614035,,220000403,"3级水晶",0,0,,0,,0,
111020008,11,1,2,0,8,,1,8,,"BuildingAttribute","Sp","星港",1,12,"xinggang","UITexture/Bldg/",111020008,UITexture/Bldg/111020008.png,"SpDtl",1,3,7,,102,80,1,3,0,"BLDG_SPACEPORT",8,,17785,17785.2631578947,3,,220000103,"3级原石",15000,15076.7543859649,,220000203,"3级金属",9000,9046.05263157895,,220000303,"3级气体",3000,3015.35087719298,,220000403,"3级水晶",0,0,,0,,0,
111020009,11,1,2,0,9,,1,9,,"BuildingAttribute","Sp","星港",1,12,"xinggang","UITexture/Bldg/",111020009,UITexture/Bldg/111020009.png,"SpDtl",1,3,7,,102,90,1,3,0,"BLDG_SPACEPORT",9,,19564,19563.7894736842,3,,220000103,"3级原石",21000,20730.5372807018,,220000203,"3级金属",12000,12438.3223684211,,220000303,"3级气体",4100,4146.10745614035,,220000403,"3级水晶",0,0,,0,,0,
111020010,11,1,2,0,10,,1,10,,"BuildingAttribute","Sp","星港",1,12,"xinggang","UITexture/Bldg/",111020010,UITexture/Bldg/111020010.png,"SpDtl",1,3,7,,102,100,1,3,0,"BLDG_SPACEPORT",10,,23477,23476.5473684211,3,,220000104,"4级原石",12000,12438.3223684211,,220000204,"4级金属",7500,7462.99342105263,,220000304,"4级气体",2500,2487.66447368421,,220000404,"4级水晶",0,0,,0,,0,
111020011,11,1,2,0,11,,1,11,,"BuildingAttribute","Sp","星港",1,12,"xinggang","UITexture/Bldg/",111020011,UITexture/Bldg/111020011.png,"SpDtl",1,3,7,,102,110,1,3,0,"BLDG_SPACEPORT",11,,35215,35214.8210526316,4,,220000104,"4级原石",23000,23321.8544407895,,220000204,"4级金属",10000,10494.8344983553,,220000304,"4级气体",4700,4664.3708881579,,220000404,"4级水晶",1200,1166.09272203947,,0,,0,
111020012,11,1,2,0,12,,1,12,,"BuildingAttribute","Sp","星港",1,12,"xinggang","UITexture/Bldg/",111020012,UITexture/Bldg/111020012.png,"SpDtl",1,3,7,,102,120,1,3,0,"BLDG_SPACEPORT",12,,52822,52822.2315789474,4,,220000104,"4级原石",44000,43728.4770764803,,220000204,"4级金属",20000,19677.8146844161,,220000304,"4级气体",8700,8745.69541529605,,220000404,"4级水晶",2200,2186.42385382401,,0,,0,
111020013,11,1,2,0,13,,1,13,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020013,UITexture/Bldg/111020013.png,"SpDtl",1,3,7,,102,130,1,3,0,"BLDG_SPACEPORT",13,,68669,68668.9010526316,4,,220000105,"5级原石",24000,23686.2584164268,,220000205,"5级金属",11000,10658.8162873921,,220000305,"5级气体",4700,4737.25168328536,,220000405,"5级水晶",1200,1184.31292082134,,0,,0,
111020014,11,1,2,0,14,,1,14,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020014,UITexture/Bldg/111020014.png,"SpDtl",1,3,7,,102,140,1,3,0,"BLDG_SPACEPORT",14,,75536,75535.7911578948,4,,220000105,"5级原石",33000,32568.6053225869,,220000205,"5级金属",15000,14655.8723951641,,220000305,"5级气体",6500,6513.72106451737,,220000405,"5级水晶",1600,1628.43026612934,,0,,0,
111020015,11,1,2,0,15,,1,15,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020015,UITexture/Bldg/111020015.png,"SpDtl",1,3,7,,102,150,1,3,0,"BLDG_SPACEPORT",15,,83089,83089.3702736842,4,,220000105,"5级原石",45000,44781.832318557,,220000205,"5级金属",20000,20151.8245433506,,220000305,"5级气体",9000,8956.36646371139,,220000405,"5级水晶",2200,2239.09161592785,,0,,0,
111020016,11,1,2,0,16,,1,16,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020016,UITexture/Bldg/111020016.png,"SpDtl",1,3,7,,102,160,1,3,0,"BLDG_SPACEPORT",16,,91398,91398.3073010527,4,,220000106,"6级原石",13000,12828.1290495866,,220000206,"6级金属",7700,7696.87742975198,,220000306,"6级气体",5100,5131.25161983465,,220000406,"6级水晶",2600,2565.62580991733,,0,,0,
111020017,11,1,2,0,17,,1,17,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020017,UITexture/Bldg/111020017.png,"SpDtl",1,3,7,,102,170,1,3,0,"BLDG_SPACEPORT",17,,137097,137097.460951579,4,,220000106,"6级原石",24000,24052.7419679749,,220000206,"6级金属",14000,14431.645180785,,220000306,"6级气体",9600,9621.09678718997,,220000406,"6级水晶",4800,4810.54839359499,,0,,0,
111020018,11,1,2,0,18,,1,18,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020018,UITexture/Bldg/111020018.png,"SpDtl",1,3,7,,102,180,1,3,0,"BLDG_SPACEPORT",18,,205646,205646.191427368,4,,220000106,"6级原石",45000,45098.891189953,,220000206,"6级金属",27000,27059.3347139718,,220000306,"6级气体",18000,18039.5564759812,,220000406,"6级水晶",9000,9019.7782379906,,0,,0,
111020019,11,1,2,0,19,,1,19,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020019,UITexture/Bldg/111020019.png,"SpDtl",1,3,7,,102,190,1,3,0,"BLDG_SPACEPORT",19,,246775,246775.429712842,4,,220000107,"7级原石",23000,22549.4455949765,,220000207,"7级金属",14000,13529.6673569859,,220000307,"7级气体",9000,9019.7782379906,,220000407,"7级水晶",4500,4509.8891189953,,0,,0,
111020020,11,1,2,0,20,,1,20,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020020,UITexture/Bldg/111020020.png,"SpDtl",1,3,7,,102,200,1,3,0,"BLDG_SPACEPORT",20,,271453,271452.972684126,4,,220000107,"7级原石",31000,31005.4876930927,,220000207,"7级金属",19000,18603.2926158556,,220000307,"7级气体",12000,12402.1950772371,,220000407,"7级水晶",6200,6201.09753861854,,0,,0,
111020021,11,1,2,0,21,,1,21,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020021,UITexture/Bldg/111020021.png,"SpDtl",1,3,7,,102,210,1,3,0,"BLDG_SPACEPORT",21,,293169,293169.210498857,4,,220000107,"7级原石",42000,41857.4083856751,,220000207,"7级金属",25000,25114.4450314051,,220000307,"7级气体",17000,16742.96335427,,220000407,"7级水晶",8400,8371.48167713502,,0,,0,
111020022,11,1,2,0,22,,1,22,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020022,UITexture/Bldg/111020022.png,"SpDtl",1,3,7,,102,220,1,3,0,"BLDG_SPACEPORT",22,,313691,313691.055233777,4,,220000108,"8级原石",19000,18661.4279052802,,220000208,"8级金属",11000,11196.8567431681,,220000308,"8级气体",7500,7464.57116211206,,220000408,"8级水晶",3700,3732.28558105603,,0,,0,
111020023,11,1,2,0,23,,1,23,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020023,UITexture/Bldg/111020023.png,"SpDtl",1,3,7,,102,230,1,3,0,"BLDG_SPACEPORT",23,,332513,332512.518547803,4,,220000108,"8级原石",25000,24726.3919744962,,220000208,"8级金属",15000,14835.8351846977,,220000308,"8级气体",9900,9890.55678979848,,220000408,"8级水晶",4900,4945.27839489924,,0,,0,
111020024,11,1,2,0,24,,1,24,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020024,UITexture/Bldg/111020024.png,"SpDtl",1,3,7,,102,240,1,3,0,"BLDG_SPACEPORT",24,,349138,349138.144475193,4,,220000108,"8级原石",32000,32453.3894665263,,220000208,"8级金属",19000,19472.0336799158,,220000308,"8级气体",13000,12981.3557866105,,220000408,"8级水晶",6500,6490.67789330525,,0,,0,
111020025,11,1,2,0,25,,1,25,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020025,UITexture/Bldg/111020025.png,"SpDtl",1,3,7,,102,250,1,3,0,"BLDG_SPACEPORT",25,,366595,366595.051698953,4,,220000109,"9级原石",14000,14198.3578916052,,220000209,"9级金属",8500,8519.01473496315,,220000309,"9级气体",5700,5679.3431566421,,220000409,"9级水晶",2800,2839.67157832105,,0,,0,
111020026,11,1,2,0,26,,1,26,,"BuildingAttribute","Sp","星港",0,12,"xinggang","UITexture/Bldg/",111020026,UITexture/Bldg/111020026.png,"SpDtl",1,3,7,,102,260,1,3,0,"BLDG_SPACEPORT",26,,381259,381258.853766911,4,,220000109,"9级原石",18000,17719.5506487233,,220000209,"9级金属",11000,10631.730389234,,220000309,"9级气体",7100,7087.82025948934,,220000409,"9级水晶",3500,3543.91012974467,,0,,0,
