"required",,,,,,,,,"optional",,"optional","optional",,,"optional","optional",,,"optional","optional","optional",,,,"repeated","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional",,"optional","repeated","optional","optional","optional",,"optional",,,,,"optional","optional","repeated","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional","optional_struct","optional",,"optional"
321020103,32,1,2,1,3,,1,102,3,,"SkillTree","STName3210201","星港","维修速度系数科技",1,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",15,,,,,,,,,,0,0,,,,,180,,,3,,300,30,0,,0,,,,,,,,,,,,,,,,,,
321020104,32,1,2,1,4,,1,102,4,,"SkillTree","STName3210201","星港","维修速度系数科技",1,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",20,,,,,,,,,,0,0,,,,,240,,,4,,400,40,0,,0,,,,,,,,,,,,,,,,,,
321020105,32,1,2,1,5,,1,102,5,,"SkillTree","STName3210201","星港","维修速度系数科技",1,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",50,,,,,,,,,,8,0,,,,,300,,,5,,500,50,0,,0,,,,,,,,,,,,,,,,,,
321020106,32,1,2,1,6,,1,102,6,,"SkillTree","STName3210201","星港","维修速度系数科技",1,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",55,,,,,,,,,,0,0,,,,,360,,,6,,600,60,0,,0,,,,,,,,,,,,,,,,,,
321020107,32,1,2,1,7,,1,102,7,,"SkillTree","STName3210201","星港","维修速度系数科技",1,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",60,,,,,,,,,,0,0,,,,,420,,,7,,700,70,0,,0,,,,,,,,,,,,,,,,,,
321020108,32,1,2,1,8,,1,102,8,,"SkillTree","STName3210201","星港","维修速度系数科技",1,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",65,,,,,,,,,,0,0,,,,,480,,,8,,800,80,0,,0,,,,,,,,,,,,,,,,,,
321020109,32,1,2,1,9,,1,102,9,,"SkillTree","STName3210201","星港","维修速度系数科技",1,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",70,,,,,,,,,,0,0,,,,,540,,,9,,900,90,0,,0,,,,,,,,,,,,,,,,,,
321020110,32,1,2,1,10,,1,102,10,,"SkillTree","STName3210201","星港","维修速度系数科技",1,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",100,,,,,,,,,,12,0,,,,,600,,,10,,1000,100,0,,0,,,,,,,,,,,,,,,,,,
321020111,32,1,2,1,11,,1,102,11,,"SkillTree","STName3210201","星港","维修速度系数科技",1,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",105,,,,,,,,,,0,0,,,,,660,,,11,,1100,110,0,,0,,,,,,,,,,,,,,,,,,
321020112,32,1,2,1,12,,1,102,12,,"SkillTree","STName3210201","星港","维修速度系数科技",1,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",110,,,,,,,,,,0,0,,,,,720,,,12,,1200,120,0,,0,,,,,,,,,,,,,,,,,,
321020113,32,1,2,1,13,,1,102,13,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",115,,,,,,,,,,0,0,,,,,780,,,13,,1300,130,0,,0,,,,,,,,,,,,,,,,,,
321020114,32,1,2,1,14,,1,102,14,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",120,,,,,,,,,,0,0,,,,,840,,,14,,1400,140,0,,0,,,,,,,,,,,,,,,,,,
321020115,32,1,2,1,15,,1,102,15,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",150,,,,,,,,,,17,0,,,,,900,,,15,,1500,150,0,,0,,,,,,,,,,,,,,,,,,
321020116,32,1,2,1,16,,1,102,16,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",155,,,,,,,,,,0,0,,,,,960,,,16,,1600,160,0,,0,,,,,,,,,,,,,,,,,,
321020117,32,1,2,1,17,,1,102,17,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",160,,,,,,,,,,0,0,,,,,1020,,,17,,1700,170,0,,0,,,,,,,,,,,,,,,,,,
321020118,32,1,2,1,18,,1,102,18,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",165,,,,,,,,,,0,0,,,,,1080,,,18,,1800,180,0,,0,,,,,,,,,,,,,,,,,,
321020119,32,1,2,1,19,,1,102,19,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",170,,,,,,,,,,0,0,,,,,1140,,,19,,1900,190,0,,0,,,,,,,,,,,,,,,,,,
321020120,32,1,2,1,20,,1,102,20,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",200,,,,,,,,,,21,0,,,,,1200,,,20,,2000,200,0,,0,,,,,,,,,,,,,,,,,,
321020121,32,1,2,1,21,,1,102,21,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",205,,,,,,,,,,0,0,,,,,1260,,,21,,2100,210,0,,0,,,,,,,,,,,,,,,,,,
321020122,32,1,2,1,22,,1,102,22,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",210,,,,,,,,,,0,0,,,,,1320,,,22,,2200,220,0,,0,,,,,,,,,,,,,,,,,,
321020123,32,1,2,1,23,,1,102,23,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",215,,,,,,,,,,0,0,,,,,1380,,,23,,2300,230,0,,0,,,,,,,,,,,,,,,,,,
321020124,32,1,2,1,24,,1,102,24,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",220,,,,,,,,,,0,0,,,,,1440,,,24,,2400,240,0,,0,,,,,,,,,,,,,,,,,,
321020125,32,1,2,1,25,,1,102,25,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",250,,,,,,,,,,26,0,,,,,1500,,,25,,2500,250,0,,0,,,,,,,,,,,,,,,,,,
321020126,32,1,2,1,26,,1,102,26,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",255,,,,,,,,,,0,0,,,,,1560,,,26,,2600,260,0,,0,,,,,,,,,,,,,,,,,,
321020127,32,1,2,1,27,,1,102,27,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",260,,,,,,,,,,0,0,,,,,1620,,,27,,2700,270,0,,0,,,,,,,,,,,,,,,,,,
321020128,32,1,2,1,28,,1,102,28,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",265,,,,,,,,,,0,0,,,,,1680,,,28,,2800,280,0,,0,,,,,,,,,,,,,,,,,,
321020129,32,1,2,1,29,,1,102,29,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",270,,,,,,,,,,0,0,,,,,1740,,,29,,2900,290,0,,0,,,,,,,,,,,,,,,,,,
321020130,32,1,2,1,30,,1,102,30,,"SkillTree","STName3210201","星港","维修速度系数科技",0,12,"UITexture/TechProd/",321020101,UITexture/TechProd/321020101.png,"STProperty3210201",0,,,,1,,121020001,"维修速度系数",300,,,,,,,,,,30,0,,,,,1800,,,30,,3000,300,0,,0,,,,,,,,,,,,,,,,,,
321020201,32,1,2,2,1,,1,102,1,,"SkillTree","STName3210202","星港","舰船空间容量科技",1,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",4004,4,4,,1,,121020002,"舰船空间容量",5,,,,,,,,,,3,0,,,,,60,,,1,,100,10,0,,0,,,,,,,,,,,,,,,,,,
321020202,32,1,2,2,2,,1,102,2,,"SkillTree","STName3210202","星港","舰船空间容量科技",1,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",10,,,,,,,,,,0,0,,,,,120,,,2,,200,20,0,,0,,,,,,,,,,,,,,,,,,
321020203,32,1,2,2,3,,1,102,3,,"SkillTree","STName3210202","星港","舰船空间容量科技",1,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",15,,,,,,,,,,0,0,,,,,180,,,3,,300,30,0,,0,,,,,,,,,,,,,,,,,,
321020204,32,1,2,2,4,,1,102,4,,"SkillTree","STName3210202","星港","舰船空间容量科技",1,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",20,,,,,,,,,,0,0,,,,,240,,,4,,400,40,0,,0,,,,,,,,,,,,,,,,,,
321020205,32,1,2,2,5,,1,102,5,,"SkillTree","STName3210202","星港","舰船空间容量科技",1,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",50,,,,,,,,,,8,0,,,,,300,,,5,,500,50,0,,0,,,,,,,,,,,,,,,,,,
321020206,32,1,2,2,6,,1,102,6,,"SkillTree","STName3210202","星港","舰船空间容量科技",1,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",55,,,,,,,,,,0,0,,,,,360,,,6,,600,60,0,,0,,,,,,,,,,,,,,,,,,
321020207,32,1,2,2,7,,1,102,7,,"SkillTree","STName3210202","星港","舰船空间容量科技",1,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",60,,,,,,,,,,0,0,,,,,420,,,7,,700,70,0,,0,,,,,,,,,,,,,,,,,,
321020208,32,1,2,2,8,,1,102,8,,"SkillTree","STName3210202","星港","舰船空间容量科技",1,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",65,,,,,,,,,,0,0,,,,,480,,,8,,800,80,0,,0,,,,,,,,,,,,,,,,,,
321020209,32,1,2,2,9,,1,102,9,,"SkillTree","STName3210202","星港","舰船空间容量科技",1,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",70,,,,,,,,,,0,0,,,,,540,,,9,,900,90,0,,0,,,,,,,,,,,,,,,,,,
321020210,32,1,2,2,10,,1,102,10,,"SkillTree","STName3210202","星港","舰船空间容量科技",1,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",100,,,,,,,,,,12,0,,,,,600,,,10,,1000,100,0,,0,,,,,,,,,,,,,,,,,,
321020211,32,1,2,2,11,,1,102,11,,"SkillTree","STName3210202","星港","舰船空间容量科技",1,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",105,,,,,,,,,,0,0,,,,,660,,,11,,1100,110,0,,0,,,,,,,,,,,,,,,,,,
321020212,32,1,2,2,12,,1,102,12,,"SkillTree","STName3210202","星港","舰船空间容量科技",1,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",110,,,,,,,,,,0,0,,,,,720,,,12,,1200,120,0,,0,,,,,,,,,,,,,,,,,,
321020213,32,1,2,2,13,,1,102,13,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",115,,,,,,,,,,0,0,,,,,780,,,13,,1300,130,0,,0,,,,,,,,,,,,,,,,,,
321020214,32,1,2,2,14,,1,102,14,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",120,,,,,,,,,,0,0,,,,,840,,,14,,1400,140,0,,0,,,,,,,,,,,,,,,,,,
321020215,32,1,2,2,15,,1,102,15,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",150,,,,,,,,,,17,0,,,,,900,,,15,,1500,150,0,,0,,,,,,,,,,,,,,,,,,
321020216,32,1,2,2,16,,1,102,16,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",155,,,,,,,,,,0,0,,,,,960,,,16,,1600,160,0,,0,,,,,,,,,,,,,,,,,,
321020217,32,1,2,2,17,,1,102,17,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",160,,,,,,,,,,0,0,,,,,1020,,,17,,1700,170,0,,0,,,,,,,,,,,,,,,,,,
321020218,32,1,2,2,18,,1,102,18,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",165,,,,,,,,,,0,0,,,,,1080,,,18,,1800,180,0,,0,,,,,,,,,,,,,,,,,,
321020219,32,1,2,2,19,,1,102,19,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",170,,,,,,,,,,0,0,,,,,1140,,,19,,1900,190,0,,0,,,,,,,,,,,,,,,,,,
321020220,32,1,2,2,20,,1,102,20,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",200,,,,,,,,,,21,0,,,,,1200,,,20,,2000,200,0,,0,,,,,,,,,,,,,,,,,,
321020221,32,1,2,2,21,,1,102,21,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",205,,,,,,,,,,0,0,,,,,1260,,,21,,2100,210,0,,0,,,,,,,,,,,,,,,,,,
321020222,32,1,2,2,22,,1,102,22,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",210,,,,,,,,,,0,0,,,,,1320,,,22,,2200,220,0,,0,,,,,,,,,,,,,,,,,,
321020223,32,1,2,2,23,,1,102,23,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",215,,,,,,,,,,0,0,,,,,1380,,,23,,2300,230,0,,0,,,,,,,,,,,,,,,,,,
321020224,32,1,2,2,24,,1,102,24,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",220,,,,,,,,,,0,0,,,,,1440,,,24,,2400,240,0,,0,,,,,,,,,,,,,,,,,,
321020225,32,1,2,2,25,,1,102,25,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",250,,,,,,,,,,26,0,,,,,1500,,,25,,2500,250,0,,0,,,,,,,,,,,,,,,,,,
321020226,32,1,2,2,26,,1,102,26,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",255,,,,,,,,,,0,0,,,,,1560,,,26,,2600,260,0,,0,,,,,,,,,,,,,,,,,,
321020227,32,1,2,2,27,,1,102,27,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",260,,,,,,,,,,0,0,,,,,1620,,,27,,2700,270,0,,0,,,,,,,,,,,,,,,,,,
321020228,32,1,2,2,28,,1,102,28,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",265,,,,,,,,,,0,0,,,,,1680,,,28,,2800,280,0,,0,,,,,,,,,,,,,,,,,,
321020229,32,1,2,2,29,,1,102,29,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",270,,,,,,,,,,0,0,,,,,1740,,,29,,2900,290,0,,0,,,,,,,,,,,,,,,,,,
321020230,32,1,2,2,30,,1,102,30,,"SkillTree","STName3210202","星港","舰船空间容量科技",0,12,"UITexture/TechProd/",321020201,UITexture/TechProd/321020201.png,"STProperty3210202",0,,,,1,,121020002,"舰船空间容量",300,,,,,,,,,,30,0,,,,,1800,,,30,,3000,300,0,,0,,,,,,,,,,,,,,,,,,
321030101,32,1,3,1,1,,1,103,1,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",1,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",3003,3,3,,1,,121030001,"舰体生产速度系数",10,,,,,,,,,,2,0,,,,,60,,,1,,100,10,0,,0,,,,,,,,,,,,,,,,,,
321030102,32,1,3,1,2,,1,103,2,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",1,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",20,,,,,,,,,,0,0,,,,,120,,,2,,200,20,0,,0,,,,,,,,,,,,,,,,,,
321030103,32,1,3,1,3,,1,103,3,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",1,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",30,,,,,,,,,,0,0,,,,,180,,,3,,300,30,0,,0,,,,,,,,,,,,,,,,,,
321030104,32,1,3,1,4,,1,103,4,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",1,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",40,,,,,,,,,,0,0,,,,,240,,,4,,400,40,0,,0,,,,,,,,,,,,,,,,,,
321030105,32,1,3,1,5,,1,103,5,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",1,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",100,,,,,,,,,,6,0,,,,,300,,,5,,500,50,0,,0,,,,,,,,,,,,,,,,,,
321030106,32,1,3,1,6,,1,103,6,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",1,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",110,,,,,,,,,,0,0,,,,,360,,,6,,600,60,0,,0,,,,,,,,,,,,,,,,,,
321030107,32,1,3,1,7,,1,103,7,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",1,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",120,,,,,,,,,,0,0,,,,,420,,,7,,700,70,0,,0,,,,,,,,,,,,,,,,,,
321030108,32,1,3,1,8,,1,103,8,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",1,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",130,,,,,,,,,,0,0,,,,,480,,,8,,800,80,0,,0,,,,,,,,,,,,,,,,,,
321030109,32,1,3,1,9,,1,103,9,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",1,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",140,,,,,,,,,,0,0,,,,,540,,,9,,900,90,0,,0,,,,,,,,,,,,,,,,,,
321030110,32,1,3,1,10,,1,103,10,,"SkillTree","STName3210301","舰体厂","舰体生产速度系数科技",1,12,"UITexture/TechProd/",321030101,UITexture/TechProd/321030101.png,"STProperty3210301",0,,,,1,,121030001,"舰体生产速度系数",200,,,,,,,,,,11,0,,,,,600,,,10,,1000,100,0,,0,,,,,,,,,,,,,,,,,,
